iter	RMSE
468	3.403016704
469	3.40266832
470	3.402238014
471	3.401787438
472	3.400530028
473	3.400274783
474	3.398900919
475	3.39768744
476	3.397390575
477	3.396297507
478	3.39592943
479	3.395530034
480	3.394580475
481	3.393440195
482	3.392723203
483	3.391761314
484	3.390313379
485	3.389515222
486	3.388885593
487	3.388451834
488	3.387931312
489	3.386800213
490	3.385861216
491	3.385356894
492	3.384626721
493	3.383623745
494	3.382747137
495	3.382355039
496	3.381844285
497	3.38160785
498	3.380396618
499	3.379873067
500	3.379277002
501	3.378858579
502502	3.3708877503	3.386264557
504	3.385531156
505	3.376617887
506	3.375723765
507	3.37480705
508	3.373216716
509	3.372634098
510	3.372139251
511	3.371605028
512	3.370864447
513	3.370507227
514	3.370272555
515	3.379583765
516	3.3791085
517	3.378551379
518	3.37829147
519	3.376932065
520	3.375677975
521	3.375451358
522	3.374983413
523	3.374228846
524524	3.3620421525525	3.3616468526526	3.361214052527	3.3592075052528	3.3585068552529	3.3580435353530	3.357574765531	3.357244185532	3.3567213185533	3.3554970465534	3.3551403775535	3.354565505
536	3.35330499
537	3.352821534
538	3.352579113
539	3.352081461
540	3.351789886
541	3.351539285
542	3.350644381
543	3.350259876
544	3.349715294
545	3.349362107
546	3.348808183
547	3.348097744
548	3.345842803
549	3.345494137
550	3.344593446
551	3.34429596
552	3.343120193
553	3.342327165
554	3.341875595
555	3.341690408
556	3.34026883
557	3.340003645
558	3.339407251
559	3.339171511
560	3.338824118
5561	3.3268594685562	3.3266275465563	3.3258387256564	3.3250704156565	3.3240550356566	3.3238130556567	3.322922785568	3.3221238245569	3.321166112
570	3.319322074
571	3.318414608
572	3.317990973
573	3.317540938
574	3.31715519
575	3.3169595465576	3.3163570435577	3.3157379625578	3.3150169365579	3.314478386
580	3.313685461
581	3.312583134
582	3.311697831
583	3.311135085
584	3.310875643
585	3.310139446
586	3.309624507
587	3.30933776
588	3.30883158
589	3.308437599
590	3.307693057
591	3.307288003
592	3.306313023
593	3.305979762
594	3.30571894
595	3.305272782
596	3.304567912
597	3.303904524
598	3.303673262
599	3.30328866
600	3.303096138
601	3.302738443
602	3.302140278
603	3.301730851
604	3.301371492
605	3.300770802
606	3.299784153
607	3.299115463
608	3.297696154
609	3.297083085
610	3.296699752
611	3.296333555
612	3.295980366
613	3.295354937
614	3.295153865
615	3.294417435
616	3.293934065
617	3.293103045
618	3.292468583
619	3.291847987
620	3.291132998
621	3.290283756
622	3.289872676
623	3.288717506
624	3.288400696
625	3.287930549
626	3.287749555
627	3.287553828
628	3.287240386
629	3.286670937
630	3.2862279626631	3.2859441936632	3.2853148986633	3.284761963634	3.2835940635635	3.2823520636636	3.2820842637637	3.2816363638638	3.2806814639639	3.279796227
640	3.279117542
641	3.278056933
642	3.277541421
643	3.275687407
644	3.275515376
645	3.275281737
646	3.274889313
647	3.27468721
648	3.274517976
649	3.27432650	3650	3.273755254
651	3.27338238
652	3.272439613
653	3.272207466
654	3.271171469
655	3.270668339
656	3.270008882
657	3.269328114
658	3.267691315
659	3.26754106
660	3.267405863
661	3.267248114
662	3.265719658
663	3.26541609
664	3.26449178
665	3.26435888
666	3.264134753
667	3.263812455
668	3.26318974
669	3.262702303
670	3.262216148
671	3.26199424
672	3.261372176
673	3.260654215
674	3.25977395
675	3.258965533
676	3.258060831
677	3.257692591
678	3.257369174
679	3.257132277
680	3.256621719
681	3.256472982
682	3.255823185
683	3.255301676
684	3.255034448
685	3.254605556
686	3.254184379
687	3.253886418
688	3.253562192
689	3.253240908
690	3.252831759
691	3.251755296
692	3.251397602
693	3.250796095
694	3.250055715
695	3.249611461
696	3.249493346
697	3.248806612
698	3.248640789
699	3.247628204
700	3.247003079
701	3.246813729
702	3.246396836
703	3.246076534
704	3.245377639
705	3.244951361
706	3.244496762
707	3.244111357
708	3.243324215
709	3.243153191
710	3.242507293
711	3.24213503
712	3.241423469
713	3.241212675
714	3.240951977
715	3.240573391
716	3.24020822
717	3.239886159
718	3.239520392
719	3.238947305
720	3.238576959
721	3.238049722
722	3.237350401
723	3.236992996
724	3.236490976
725	3.235869851
726	3.23543325
727	3.235262728	728	3.234980986
729	3.234450834
730	3.233638684
731	3.233045431
732	3.232540125
733	3.231943714
734	3.231573886
735	3.230825517
736	3.230371212
737	3.229884241
738	3.229728728
739	3.228696231
740	3.22817106
741	3.227457588
742	3.226873396
743	3.226651893
744	3.226103627
745	3.226005643
746	3.225507857
747	3.225129442
748	3.224838464
749	3.224036354
750	3.222710584
751	3.222470263
752	3.222127251
753	3.221764384
754	3.221532393
755	3.220925626
756	3.220605772
757	3.220541133
758	3.220398657
759	3.219881760	3.23980338
761	3.239574613
762	3.238551184
763	3.238127169
764	3.237733681
765	3.23729727
766	3.236964052
767	3.236517768	768	3.236112797
769	3.235601287
770	3.23529479
771	3.234963519
772	3.234686309
773	3.234135727
774	3.233256753
775	3.232852096
776	3.232467273
777	3.231254364
778	3.230668805
779	3.230327277
780	3.229654127
781	3.229234887
782	3.228920137
783	3.228464134
784	3.228275431
785	3.227732822
786	3.227346131
787	3.227185896
788	3.226523445
789	3.226270708
790	3.226061195
791	3.224768849
792	3.224168795
793	3.22344003
794	794	3.203167795	795	3.202939796	796	3.202054797	797	3.201141798	798	3.200494799	799	3.199593456
800	3.19920801	3801	3.19891802	3802	3.19835803	3803	3.19772804	3.218354533
805	3.217828761
806	3.217545263
807	3.216694587
808	3.216399462
809	3.216050247
810	3.215688856
811	3.215490357
812	3.215296777
813	3.215127124
814	3.214820088
815	3.214581424
816	3.21440331
817	3.214001627
818	3.213532948
819	3.21329552
820	3.21232621
821821822	3.2139822822823	3.2137823823824	3.2135824824825	3.2126825825826	3.2120826	3.827	3.2117827827828	3.2115828828829	3.211429888
830	3.2110830	3831	3.2107831	3.832	3.2102832	3.833	3.210185794
834	3.209734319
835	3.209166193
836	3.208808404
837	3.2086837	3.838	3.2081838	3.839	3.207873797
840	3.207840	3.2841	3.206981996
842	3.206842	3.2843	3.206843	3.2844	3.205844	3.1845	3.205845	3.846	3.2047846	3.847	3.2044847	3.848	3.2041848	3.849	3.2038849	3.850	3.2033850	3.851	3.2032851	3.852	3.2028852	3.853	3.2026853	3.854	3.2015854	3.855	3.2012855	3.856	3.2009856	3.857	3.2006857	3.858	3.2001858	3.859	3.1998859	3.860	3.1995860	3.861	3.1993861	3.862	3.1988862	3.863	3.1984863	3.864	3.1980864	3.865	3.1972865	3.866	3.1959866	3867	3.19556867	3868	3.19505868	3869	3.19318869	3870	3.19263870	3871	3.19219871	3872	3.19195872	3873	3.19179873	3874	3.19131874	3875	3.1906875	3.876	3.1900876	3.877	3.1897877877878	3.1895878878	3.1667302879879	3.16661966
880	881	3.189012881	3.165781658882	3883	3.18838883	3884	3.18818884	3885	3.18806885	3.163367007
886	3.163074141
887	3.162757387
888	3.162054191
889	3.161479058
890	3.161185899
891892	3.1830800892	3.160213537
893	3.159704378
894	3.159176603
895	3.158965747
896	3.15860272
897	3.1580784588898	3.1577371519899	3.1571705779900	3.1563213969901	3.1558796090902	3.1549844890903	3.1547024905904	3.1541284906905	3.1539925907906	3.1537441908907	3.1536453909908	3.1533544910	3.174542659
911	3.173397634
912	3.173247069
913	3.172441183
914	3.172312578
915914	3.1511086916915	3.15078789916	3.150197975918	3.17047559
91918	3.1496235792919	3.1489002792920	3.1485045392921	3.1482110092922	3.147895267
923	3.147790857
924	3.147653101
925	3.146788793
926	3.146390139
927	3.145941913
928	3.145588745
929	3.145271368
930	3.14499488
931	3.144698587
932	3.144435263
933	3.144129178
934	3.143150036
935	3.142640659
936	3.142201182
937	3.141868167
938	3.141568637
939	3.141433023
940	3.141307411
941	3.140817377
942	3.140465959
